propertyId,propertyItemId,propertyParcelNumber,propertyAddress,propertyFaceValue,currentBidStatus,currentBidAmount,currentBidRequired,bid,bidType
560914e4d4c68c50bf9e1473,029530, 40-074-00-002,240 OLD Y RD,$662.30,Bids,753,754,,PTW
560914e5d4c68c50bf9e18ec,029740, 40-072-01-037,0 VACANT LAND ,$37.59,Bids,37.59,38.59,,PTW
560914e4d4c68c50bf9e1474,030339, 39-293-07-005,3005 ZINNIA CT,"$3,125.36",Bids,3361,3362,,PTW
560914e4d4c68c50bf9e1475,030786, 39-294-15-008,2673 TAFT ST,"$1,267.73",Bids,1364,1365,,PTW
560914e4d4c68c50bf9e1476,031083, 39-293-00-034,2650 ALKIRE ST,"$43,017.03",Bids,46244,46245,,PTW
560914e4d4c68c50bf9e1477,031287, 39-323-14-001,1650 YOUNGFIELD ST,"$1,091.81",Bids,1175,1176,,PTW
560914e4d4c68c50bf9e1478,031601, 29-242-08-062,9254 INGALLS ST,"$1,319.32",Bids,1419,1420,,PTW
560914e4d4c68c50bf9e1479,031815, 39-323-02-015,1980 YOUNGFIELD ST,"$8,489.88",Bids,9128,9129,,PTW
560914e4d4c68c50bf9e147a,031844, 39-322-02-009,2525 WILLOW LN,"$3,753.05",Bids,4036,4037,,PTW
560914e4d4c68c50bf9e147b,031926, 39-324-05-010,1845 WINFIELD DR,"$4,314.95",Bids,4618,4619,,PTW
560914e4d4c68c50bf9e147d,032395, 39-291-08-040,12125 W 34TH PL,"$2,568.64",Bids,2762,2763,,PTW
560914e4d4c68c50bf9e147e,032400, 39-291-09-011,12376 W 34TH PL,"$2,534.74",Bids,2726,2727,,PTW
560914e4d4c68c50bf9e147f,033061, 69-023-06-012,8891 S AMMONS ST,"$3,007.24",Bids,3234,3235,,PTW
560914e5d4c68c50bf9e17c3,033076, 69-031-02-022,8420 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
560914e5d4c68c50bf9e17c4,033088, 69-031-03-009,8421 S CODY WAY,"$1,236.34",Bids,1323.89,1324.89,,PTW
